ลำดับ,กว้าง,ยาว,หนา,น้ำหนักก่อนผ่า(g),น้ำหนักเปลือก+เนื้อหลังผ่า(g),น้ำหนักเนื้อซ้าย(g),น้ำหนักเนื้อขวา(g),น้ำหนักเนื้อรวม(g),Defectเนื้อมีจุดดำ,Defectเนื้อแหว่ง,Defectเนื้อช้ำมีจุดน้ำมัน,ความสมบูรณ์(%)
164,23.81,30.9,13.39,4.87,5.38,0.85,0.78,1.63,,1,,50
165,21.21,31.2,12.75,5.01,5.96,1.2,0.71,1.91,,,,100
166,22.63,29.88,13.01,4.86,4.75,1.03,0.6,1.63,,,,100
167,23.18,33.12,16.2,6.08,6.04,0.65,0.95,1.6,,,,100
168,21.87,29.74,17.59,5.64,5.52,0.85,0.88,1.73,,1,,50
169,23.56,32.66,15.49,6.05,6.03,1.42,0.9,2.32,,,,100
170,23,31.28,16.04,5.76,5.55,0.89,0.91,1.8,,,,100
171,22.1,31.9,14.17,5.48,5.45,0.82,0.75,1.57,,,,100
172,21.39,25.8,16.02,4.38,4.32,0.72,1.19,1.91,,1,,50
173,22.39,31,17.52,5.44,4.9,0.97,1.5,2.47,,,,100
174,22.04,29.03,12.62,4.42,4.08,0.65,0.65,1.3,,1,,50
175,20.45,29.06,14.21,4.02,3.94,0.7,0.75,1.45,,1,,50
176,21.69,30.06,15.45,5.3,5.33,0.79,0.83,1.62,,1,,50
177,21.86,28.43,13.3,4.25,4.47,0.89,0.45,1.34,,,,100
178,21.99,30.68,14.37,5.13,5.19,0.87,0.8,1.67,,,,100
179,24.12,26.73,13.13,5.49,5.48,0.81,0.49,1.3,,1,,50
180,22.6,34.65,13,5.7,5.7,0.8,0.3,1.1,,1,,50
